stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
ABCH,"Abbé Chérel",,47.21003172,-1.65161828,,,1,,
ABDU,"Abel Durand",,47.22020569,-1.60337355,,,1,,
ABOL,"Adrienne Bolland",,47.26790885,-1.47679170,,,1,,
ACHA,"Angle Chaillou",,47.26979801,-1.57208917,,,1,,
ADBO,"Audubon",,47.21405405,-1.72320576,,,1,,
ADEL,"Aimé Delrue",,47.20897490,-1.55012135,,,1,,
ADPI,"Avenue des Pins",,47.25369025,-1.59773745,,,1,,
AECL,"Aéroclub",,47.15937636,-1.59801510,,,1,,
AEPO,"D2A - Aéroport",,47.15685125,-1.59739517,,,1,,
AESP,"Aérospatiale",,47.16133124,-1.58702631,,,1,,
AFRA,"Anatole France",,47.22394202,-1.57215076,,,1,,
AGBE,"L'Angebert",,47.14055181,-1.45573793,,,1,,
AGDR,"Angebardière",,47.16941124,-1.50519277,,,1,,
AGVI,"Angevinière",,47.24595941,-1.61102754,,,1,,
AIBU,"Airbus",,47.15797233,-1.59125801,,,1,,
AIGU,"Aiguillon",,47.25447295,-1.49658779,,,1,,
ALCH,"Champ de l'Alouette",,47.28290814,-1.58015969,,,1,,
ALDE,"Allende",,47.17478357,-1.62455655,,,1,,
ALNE,"Aulne",,47.27696864,-1.63900392,,,1,,
AMCA,"Armoricaine",,47.25825896,-1.64749662,,,1,,
AMER,"Américains",,47.23606779,-1.56824332,,,1,,
AMPE,"Ampère",,47.26071304,-1.55317276,,,1,,
ANGE,"Les Anges",,47.27528607,-1.63709741,,,1,,
ANTO,"Antons",,47.25764125,-1.62259170,,,1,,
APAV,"Apave",,47.22535952,-1.64747102,,,1,,
APER,"Ampère",,47.30224449,-1.50782221,,,1,,
APRE,"Ambroise Paré",,47.22907621,-1.60854645,,,1,,
AQUI,"Aquitaine",,47.20974333,-1.61481241,,,1,,
ARAG,"Arago",,47.30350528,-1.50482139,,,1,,
ARBO,"Arbois",,47.25866072,-1.58174208,,,1,,
ARCA,"Arcades",,47.21201009,-1.65358465,,,1,,
ARGO,"Argonautes",,47.30239127,-1.48180079,,,1,,
ARMO,"Armorique",,47.27151056,-1.44535051,,,1,,
AROR,"Armor",,47.23102860,-1.63180452,,,1,,
ATAR,"Antarès",,47.28169720,-1.45974646,,,1,,
AUCP,"La Chapelle Aulnay",,47.30835024,-1.54334369,,,1,,
AUFR,"L'Aufrère",,47.16733081,-1.52511352,,,1,,
